timestamp,speed,alert,band,dets,path
2024-06-24 13:55:41.286,0,False,O,0.0,none
2024-06-24 13:55:41.362,0,False,O,0.0,none
2024-06-24 13:55:41.447,0,False,O,0.0,none
2024-06-24 13:55:41.538,0,False,O,0.0,none
2024-06-24 13:55:41.634,0,False,O,0.0,none
2024-06-24 13:55:41.730,0,False,O,0.0,none
2024-06-24 13:55:41.824,0,False,O,0.0,none
2024-06-24 13:55:41.919,0,False,O,0.0,none
2024-06-24 13:55:42.016,0,False,O,0.0,none
2024-06-24 13:55:42.115,0,False,O,0.0,none
2024-06-24 13:55:42.210,0,False,O,0.0,none
2024-06-24 13:55:42.320,1,False,O,0.0,none
2024-06-24 13:55:42.420,1,False,O,0.0,none
2024-06-24 13:55:42.522,1,False,O,0.0,none
2024-06-24 13:55:42.619,1,False,O,0.0,none
2024-06-24 13:55:42.716,1,False,O,0.0,none
2024-06-24 13:55:42.810,1,False,O,0.0,none
2024-06-24 13:55:42.904,1,False,O,0.0,none
2024-06-24 13:55:43.023,1,False,O,0.0,none
2024-06-24 13:55:43.119,1,False,O,0.0,none
2024-06-24 13:55:43.218,1,False,O,0.0,none
2024-06-24 13:55:43.315,1,False,O,0.0,none
2024-06-24 13:55:43.417,1,False,O,0.0,none
2024-06-24 13:55:43.517,1,False,O,0.0,none
2024-06-24 13:55:43.623,2,False,O,0.0,none
2024-06-24 13:55:43.726,2,False,O,0.0,none
2024-06-24 13:55:43.829,2,False,O,0.0,none
2024-06-24 13:55:43.929,2,False,O,0.0,none
2024-06-24 13:55:44.032,2,False,O,0.0,none
2024-06-24 13:55:44.129,2,False,O,0.0,none
2024-06-24 13:55:44.231,2,False,O,0.0,none
2024-06-24 13:55:44.333,2,False,O,0.0,none
2024-06-24 13:55:44.440,2,False,O,0.0,none
2024-06-24 13:55:44.538,2,False,O,0.0,none
2024-06-24 13:55:44.643,2,False,O,0.0,none
2024-06-24 13:55:44.745,2,False,O,0.0,none
2024-06-24 13:55:44.845,2,False,O,0.0,none
2024-06-24 13:55:44.945,3,False,O,0.0,none
2024-06-24 13:55:45.039,3,False,O,0.0,none
2024-06-24 13:55:45.138,3,False,O,0.0,none
2024-06-24 13:55:45.242,3,False,O,0.0,none
2024-06-24 13:55:45.336,3,False,O,0.0,none
2024-06-24 13:55:45.438,3,False,O,0.0,none
2024-06-24 13:55:45.536,3,False,O,0.0,none
2024-06-24 13:55:45.632,3,False,O,0.0,none
2024-06-24 13:55:45.738,3,False,O,0.0,none
2024-06-24 13:55:45.834,3,False,O,0.0,none
2024-06-24 13:55:45.937,3,False,O,0.0,none
2024-06-24 13:55:46.037,3,False,O,0.0,none
2024-06-24 13:55:46.137,3,False,O,0.0,none
2024-06-24 13:55:46.243,4,False,O,0.0,none
2024-06-24 13:55:46.339,4,False,O,0.0,none
2024-06-24 13:55:46.437,4,False,O,0.0,none
2024-06-24 13:55:46.541,4,False,O,0.0,none
2024-06-24 13:55:46.651,4,False,O,0.0,none
2024-06-24 13:55:46.751,4,False,O,0.0,none
2024-06-24 13:55:46.848,4,False,O,0.0,none
2024-06-24 13:55:46.919,4,False,O,0.0,none
2024-06-24 13:55:46.995,4,False,O,0.0,none
2024-06-24 13:55:47.072,4,False,O,0.0,none
2024-06-24 13:55:47.153,4,False,O,0.0,none
2024-06-24 13:55:47.232,4,False,O,0.0,none
2024-06-24 13:55:47.304,4,False,O,0.0,none
2024-06-24 13:55:47.383,5,False,O,0.0,none
2024-06-24 13:55:47.470,5,False,O,0.0,none
2024-06-24 13:55:47.554,5,False,O,0.0,none
2024-06-24 13:55:47.646,5,False,O,0.0,none
2024-06-24 13:55:47.722,5,False,O,0.0,none
2024-06-24 13:55:47.806,5,False,O,0.0,none
2024-06-24 13:55:47.903,5,False,O,0.0,none
2024-06-24 13:55:47.972,5,False,O,0.0,none
2024-06-24 13:55:48.046,5,False,O,0.0,none
2024-06-24 13:55:48.111,5,False,O,0.0,none
2024-06-24 13:55:48.188,5,False,O,0.0,none
2024-06-24 13:55:48.269,5,False,O,0.0,none
2024-06-24 13:55:48.341,5,False,O,0.0,none
2024-06-24 13:55:48.410,6,False,O,0.0,none
2024-06-24 13:55:48.477,6,False,O,0.0,none
2024-06-24 13:55:48.549,6,False,O,0.0,none
2024-06-24 13:55:48.625,6,False,O,0.0,none
2024-06-24 13:55:48.694,6,False,O,0.0,none
2024-06-24 13:55:48.767,6,False,O,0.0,none
2024-06-24 13:55:48.846,6,False,O,0.0,none
2024-06-24 13:55:48.922,6,False,O,0.0,none
